note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time
67fbae92000000001202e997,ABnNelTUumeIs_TTVwNkT-_xg3T7mFZXolu2BKil044uM=,normal,看照片猜地点-交大篇！,快来猜一猜交大校园景色取景地！ 欢迎uu们在评论区留下照片的拍摄地/拍摄内容~ #上海交通大学[话题]#  #你好交大[话题]# #大学生活[话题]# #校园景色[话题]# #互动[话题]# @薯队长 @校园薯,48,4,4,12,2025-04-14 11:40:03
67fc7c9a000000001d005175,ABZSXovurBgj0DW89FGbyUDMuQ4E6XgmEAA2qG2Rnr-mI=,normal,“海派·承载”主题联展开幕！,交大设计﻿@交大设计学院﻿ x 徐家汇书院 「徐家汇书院」与「设计大楼」双展区联动 展览以建筑为媒 二者共同演绎海派文化的传承与创新 	 徐家汇书院展区聚焦历史文脉， 在这里，「建筑」可作为一个「展品」 再现建筑及其承载的百年“摩登都市”生活 	 设计大楼展区呈现现代转译 在这里，也可作为一个「展场」 上海交通大学设计大楼 是持续融合并创新海派文化的实验场 	 【展览信息】 “海派·承载”主题联展 	 01 “往昔｜Art Deco 建筑”展区 展览地点：徐家汇书院中庭 展览时间：2025年4月1日—5月5日 	 02 “再现｜交大设计大楼”展区 展览地点：上海交通大学设计大楼画廊 展览时间：2025年4月6日—4月18日 	 【展览组织架构】 主办单位 | 上海交通大学设计学院 联合主办 | 徐家汇书院 指导单位 | 上海市徐汇区文化和旅游局，上海交通大学党委宣传部、校友总会办公室 	 ﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#建筑设计[话题]#﻿ ﻿#设计[话题]#﻿ ﻿#展示设计[话题]#﻿ ﻿#交大设计[话题]#﻿ ﻿#交大设计学院[话题]#﻿ ﻿#徐家汇书院[话题]#﻿ ﻿#海派承载主题联展[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,43,17,10,2,2025-04-14 11:10:18
67fb2f88000000001c002e52,ABnNelTUumeIs_TTVwNkT-_7ZH2WeAyqqXPDH3QnIxeyI=,video,贵州村超在交大！ ,足球为媒·山海同心——贵州“村超”走进上海交大暨贵州民族文化展举行 ﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#村超[话题]#﻿ ﻿#贵州村超[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,74,1,19,6,2025-04-13 11:29:12
67fa6264000000001c008017,ABSKkdSZIM6umKEfzVanUyA32PGVZgs_OcP0C4wSb62S8=,normal,今天，贵州村超的风，吹进了上海交大！,跨越“黔”山万水 贵州村超的风 吹进了上海交大！ 	 今天（4月12日） 上海交通大学胡法光体育场 贵州榕江大利侗寨足球队 与交大校队足球友谊赛火热开赛 贵州民族文化展火热开幕 贵州非遗、榕江特产 和“村超”一起来到交大 让这场跨越山海的球赛 变成了“足”够精彩的文化联欢 （南洋通讯社） 	 ﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#村超[话题]#﻿ ﻿#贵州村超[话题]#﻿ ﻿#榕江[话题]#﻿ ﻿#榕江村超[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,88,3,9,5,2025-04-12 20:53:57
67f7bc09000000001c013dd2,ABxj5w4DgKLFsy5-zFULBGuRKlHexrc-3jxvmckt3jC3k=,normal,🌸春日歌单｜SJTU向你发出了听歌邀请,又到了适合听歌晒太阳的季节🌅 交交拿出私藏已久的春日歌单🎶 🎧ᐅ II||II||II||II 和交交一起收听24 °C春光吧！ 	 此刻望向窗外的你， 耳机里又在播放什么歌呢？🤔 不要吝啬，分享给交交听吧！🎵 	 图片来源：@Rick #一键播放春天[话题]# #上海交通大学[话题]# #你好交大[话题]# #我的宝藏歌单[话题]# #分享音乐[话题]# #好音乐为春天暖场[话题]# #晒出我的歌单[话题]# @薯队长 @校园薯,52,11,15,4,2025-04-11 12:03:50
67f79b53000000001c0285eb,ABxj5w4DgKLFsy5-zFULBGuX5FbRg6KWSzjuTGxntkXrE=,video,@贵州村超：我们在交大等你！,上海交大足球队@ 贵州村超：我们在交大等你！ 	 ﻿#你好交大[话题]#﻿ ﻿#村超[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#贵州村超[话题]#﻿ ﻿#球类运动日常[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,74,6,4,11,2025-04-10 18:20:03
67f75111000000001200d8e2,ABxj5w4DgKLFsy5-zFULBGufcYONrJUKThnknI-cE-yj8=,normal,@贵州村超，我们在上海交大等你！,还记得一年前的那次绿茵约定吗？ 2024年1月18日 上海交大师生足球队 受到贵州村超邀请 跨越山海 千里赴约 与榕江一中师生足球队进行友谊赛 	 时隔一年 接力棒交到了交大手中 @贵州村超 我们在上海交大等你 2025年4月12日 是时候来感受交大师生的足球热情 完成这场双向奔赴的足球之约！ ﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#贵州村超[话题]#﻿ ﻿#村超[话题]#﻿ ﻿#球类运动日常[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,42,4,13,3,2025-04-10 16:03:02
67f7503e0000000007035f85,ABxj5w4DgKLFsy5-zFULBGucOB-NwxW6BJpW0lhHhBmvw=,video,我在交大，迎接国旗！,﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#礼物[话题]#﻿ ﻿#国旗[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,535,39,18,16,2025-04-10 12:59:42
67f51246000000001c029571,AB1GXhe7gMbITMz2yTGiG5_PT7_B3oOcpfLeoQW2ULzIo=,video,期待春日里第一场舞蹈之约！,上海交通大学2025学生舞蹈团专场 4月13日19:00菁菁堂 期待与您相遇 详情关注“上海交通大学学生艺术团” 获取更多演出信息 	 ﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#上海[话题]#﻿ ﻿#演出[话题]#﻿ ﻿#演出现场[话题]#﻿ ﻿#舞蹈团[话题]#﻿ ﻿#舞蹈[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,244,21,57,17,2025-04-08 20:10:46
67f4e486000000001d00888b,ABN-KcDFDb6i-FKJeD-XNT8mP83uoDuo8g1l4-J7xNHUU=,normal,今天，交大129岁！一起换定制壁纸！,四月春暖花开 人间芳华正盛 今天（4月8日） 学校迎来129岁生日 我们为每位SJTUer量身打造定制壁纸 动动手指换一换 留下属于我们的祝福 在灿烂春光里 定格这份感动与期许 	 策划制作：上海交通大学融媒体中心 壁纸设计：黄煜博 陈仪平 徐晨萱（其中，P5-P6为大创项目—《人工智能与文创设计》作品，指导老师：刘小凯 张帆 成员：黄煜博 郭艺涵 俞涵萱 王訸） ﻿#壁纸[话题]#﻿ ﻿#定制壁纸[话题]#﻿ ﻿#你好交大[话题]#﻿ ﻿#上海交通大学[话题]#﻿ ﻿#上海交通大学建校129周年[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,295,48,31,16,2025-04-08 16:55:34
67f1fdbe000000001d0027ec,ABxeJSBpUSir7CmcED24JUtCkBc5nyq8atxAZij9Cmdm4=,normal,上海交通大学建校130周年公告,上海交通大学建校130周年公告 正式发布 #上海交通大学[话题]# #你好交大[话题]# #校庆[话题]# #上海交通大学建校130周年[话题]# #上海交大[话题]# @薯队长 @校园薯,870,73,244,157,2025-04-06 12:06:22
67dfe167000000001c001fe3,AB0apT5gvKay3xkq2wvXzd2mryhKNpVjGER-xu8RhUIuc=,video,请选择你的交大天气☀️🌤️🌥️🌦️🌧️⛈️🌨️,来源：源泉工作室 #上海交通大学[话题]# #你好交大[话题]# #天气变化无常[话题]# #大学生校园[话题]# @薯队长 @校园薯,21000,3310,440,1348,2025-03-23 18:24:39
68072ddf000000001d003c71,ABuz7rk51ARxA9YcXnpIu4GGWV3FaKJTNi5lKluF9ahFY=,normal,上海交大2025强基计划，来了❗️,上海交大2025强基计划 正式发布 	 #上海交通大学[话题]##你好交大[话题]# #名校[话题]# #强基计划[话题]# #强基[话题]# @薯队长 @校园薯,146,26,24,15,2025-04-22 13:49:19
