note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time,category
68122878000000002002bd20,AB9viopHdO33D9zEzOAlGgE66oKyuepSTBby1URfA3Jao=,video,用格莱美慢镜头看北大劳动者们！,祝大家劳动节快乐！ 导演/拍摄/后期：毛渤淳 罗榆姗 布光/置景：罗榆姗 徐钰倩 于晨浩 ﻿#格莱美慢镜头[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,273,19,7,10,2025-05-01 00:00:49,学生生活类
680c49dc000000001c02c83c,AB9lxGr8wFM_03pkZ38VySgjRAAb-crEJV9h5Kvtr7aAA=,video,春信至，燕园流苏花开如雪,临水摇影，入眼入心 且从笔卷，随花一游 循春深处，赏一树芳华 视频制作：﻿@爱摄影CH﻿ ﻿#流苏树[话题]#﻿ ﻿#北大流苏树[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#鲜花分享[话题]#﻿ ﻿#交换春天[话题]#﻿ ﻿#小红书春天舞会[话题]#﻿ ﻿@校园薯﻿,1258,213,158,82,2025-04-26 10:50:04,美景照片类
681335f9000000002102f171,ABASk4ZEtePIkVW-P4F8fqVnML8UlhRyRIfA0uqHEHiWw=,video,五一的正确打开方式！北大学生化身“快递管家” 用行动致敬劳动,五一的正确打开方式！北大学生化身“快递管家” 用行动致敬劳动 北京大学学生会校园换岗活动在近邻宝快递服务中心开展。分拣扫描、搬运投柜、秩序维护，身着橙色马甲的志愿者们化身“快递管家”，在货架巷道间穿梭忙碌，用细致服务为校园物流提速增效。让我们通过镜头直击现场，记录这些守护包裹畅达的温暖身影！ 制片：杜牧秦 拍摄：吉娜 张铭杰 剪辑：马洪宇 张光启 杜牧秦 采访：赵予宁 张诗韵 李世轩 统筹：吴天可 汪栎宬 杜牧秦 常桉文 ﻿#北京大学[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#五一[话题]#﻿ ﻿#劳动节[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,153,8,0,13,2025-05-01 16:51:05,学生生活类
681227cd00000000210063c3,AB9viopHdO33D9zEzOAlGgE5fJNG-o9lxKu1JTISBvNk4=,video,第四届配音大赛圆满收官！来“声”临其境吧,「声启华章」第四届北京大学校园配音大赛圆满收官！大赛由北京大学燕语配音社主办，历经长达半年的备赛与辛勤准备，通过层层筛选，10位选手站上了决赛舞台！来“声”临其境吧！ 拍摄：林予诺 封昌炜 剪辑：封昌炜 ﻿#配音大赛[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,267,18,3,16,2025-04-30 21:38:21,学生生活类
6811d168000000002002bf5b,ABSAVBpPpoz5AiPqZ6swicU1IYtpChWC51J5JLV3F2uy8=,video,两位北大女生的洛阳48小时,北京大学全新推出系列视频《走，去你的家乡》，北大留学生跟随中国同学回到TA的家乡，穿梭文明与记忆，体验经典与创新。 第一站，北京大学化学与分子工程学院2021级博士生沈嫣然，和来自英国剑桥的北京大学对外汉语教育学院的顾安菊（Ines），一起用48小时走进古都洛阳，完成一次精彩的旅行。 ﻿#洛阳[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,1873,194,236,89,2025-04-30 15:29:44,学生生活类
6811888b000000002102f1bc,ABSAVBpPpoz5AiPqZ6swicU8rHIIp-LeRzhmjMNqnQoSc=,video,北京市低碳学校论坛在北大举行,4月22日，由北京大学、北京市学校基建后勤管理事务中心、北京市高等教育学会后勤研究分会共同主办的北京市低碳学校论坛在北京大学英杰交流中心举行。 视频制作：王小虎同学 ﻿#低碳学校论坛[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,251,12,5,17,2025-04-30 13:19:00,学生生活类
68118773000000002100111e,ABSAVBpPpoz5AiPqZ6swicU8G3xuFnuARtQB8ddfVFYmo=,video,乘‘新’而上——北大科学YEAH！,4 月 29 日晚，北京大学“新质生产力”主题科学演讲活动上线直播！ 五位北大青年科学家聚焦科技前沿动态和新质生产力重点领域，通过“硬核科普”的演讲，多角度诠释科研领域的“北大方案”如何赋能新质生产力发展、助力科技自立自强。 ﻿#北大科学YEAH[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿#知识科普[话题]#﻿ ﻿@校园薯﻿,159,14,6,9,2025-04-30 10:14:11,学生生活类
68109e190000000021008b19,AB0okKeHx62P5awOKhr_DuPYmbP3UORXNgTtmNHY67KNE=,video,三二一，春天里，请和小北跳支圆舞曲~,二月兰静静铺好柔软地毯，流苏花影轻吻百年砖墙，碧绿春水荡漾塔影湖光，衣袖轻扬掀起春风二两﻿#世界舞蹈日[话题]#﻿ 每一个不曾起舞的日子，都是对生命的辜负！ 出镜：祝莹晰、林珑 拍摄：于衍斌 ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿#交换春天[话题]#﻿ ﻿#世界舞蹈日[话题]#﻿ ﻿@校园薯﻿,756,116,36,44,2025-04-29 17:38:33,学生生活类
68107373000000002002a032,AB0okKeHx62P5awOKhr_DuPadcgqLTZ9g4pmmjx7-PlfA=,video,凝千年文心，载当代新知,一册一山河，绵延纸上家山。 2025港台学术图书展，精选三千多册两岸宝岛香江的智慧结晶。 制片/脚本：邝尹慧 拍摄：邝尹慧 佐藤纪子 采访：佐藤纪子 后期：邝尹慧 吴芷瑜 ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,202,17,2,9,2025-04-29 14:36:35,艺术文化类
681042fe00000000210043b5,AB0okKeHx62P5awOKhr_DuPXeLDWgJpjUuw5A8OLAcfgQ=,video,青春长跑开跑，北大学子有话说,4月27日，北京大学第六届五四青春长跑激情开跑！从五四操场到圆明园公园，百年五四精神在奔跑中传承。一起来听听他们的感受吧。 编导：陈雨辰 拍摄：侯汮彤，王嘉乐，苏欣宜，张诗亭 剪辑：张诗亭 ﻿#青春长跑[话题]#﻿ ﻿#北大[话题]#﻿ ﻿#北京大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿@校园薯﻿,274,22,7,15,2025-04-29 11:09:50,运动健康类
