note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time,category
680a338c000000001202f592,ABWz1QRihKVPOkbp-10gefBTXMt6bQ89_F7QtCbOwwEZ0=,video,当我像鸟飞跃仙林校区🐦,黄昏之时🌇 晚霞与夕阳伴我同行🌞 天文台上🔭 年轻人们正在探索宇宙的奥秘🔍 杜厦馆中📖 密密麻麻的字符中孕育新的可能✨ 我们一齐飞向无限的星海♾️ 编辑：陈雨晗 视频制作：李霖、严思璇、李佳昊 ﻿#南京大学[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#落日[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿﻿,101,9,9,2,2025-04-28 17:01:06,学生生活类
681250b0000000002301f379,AB9viopHdO33D9zEzOAlGgExsV5hkxrTgm0Q7E5SR9huQ=,video,南京大学英文宣传片正式发布啦🎉,当今时代 大学应当承担什么样的使命📖 我们应当何为🔍 又将创造怎样的未来✨ 	 南京大学英文宣传片 New Journey United 为您呈现南京大学如何回答 中国之问、世界之问 人民之问、时代之问 	 诚朴雄伟，励学敦行🎓 道启南雍，吾愿无穷🔭 我们是南京大学 我们是南大 我们是NJU！ New Journey United 奋进新征程 	 我们将同时推出法语、德语、俄语、日语、西班牙语、朝鲜语版🎞️ 敬请关注 	 特别鸣谢：南京大学外国语学院 在此谨向为此片辛勤付出的师生员工、校友同仁 致以最崇高的敬意和最诚挚的感谢！ 	 来源：南京大学党委宣传部 	 #南京大学[话题]# #英文宣传片[话题]# #南大图鉴[话题]# @薯队长 @校园薯,922,162,217,33,2025-05-01 00:32:48,学生生活类
68148838000000002300cf9f,AB6pW71tp1bPCFN1eCBwJ6eBnG4btaket_W2YL8DD4DAA=,video,🎨在南京大学当「艺术家」是种什么体验？,从模仿到写生！画笔一挥，灵感起飞！ 南大油画课惊喜开麦～ 专业导师+神仙课堂 零基础也能画出惊艳作品 ✨直击师生采访，揭秘画布背后的奇思妙想🎬 	 采访：郭峻麟 拍摄：李佳昊、董小立、常慷 剪辑：胡若凡 编辑：朱子宁 ﻿#南京大学[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#南京大学油画课[话题]#﻿ ﻿#南京大学宝藏课程[话题]#﻿ ﻿#总要体验一次油画课[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,25,2,0,0,2025-05-02 20:02:06,艺术文化类
6814875f000000002300cafd,AB6pW71tp1bPCFN1eCBwJ6ePqgsQS9sn8q1uNSsQbNzzw=,video,南大鼓楼vlog📷偷偷溜进春天🌷,春光明媚 绿意盎然🍃 一起漫步南大鼓楼校区 用镜头记录春日里的生机☀️ 用双眼捕捉每个角落的美好 	 来源：彭靖涵 编辑：陈霖怡 ﻿#南京大学[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#vlog[话题]#﻿ ﻿#南京大学鼓楼校区[话题]#﻿ ﻿#春天[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,284,28,5,13,2025-05-02 16:50:39,美景照片类
681366770000000022028e8b,ABASk4ZEtePIkVW-P4F8fqVjT8XwxiJ7LJ0GWK9nAEzBE=,normal,五一礼赞：致敬奋进的南大劳动者！,五月的风掠过百廿屋檐 捎来了劳动者的节日 在这个特别的日子里 我们满怀敬意 向每位辛勤的劳动者致敬！ 用劳动的汗水凝聚成迢迢星汉 将校园托起 如四季常青的温暖港湾 	 是你们， 在清晨食堂的袅袅热气里 在教室黑板的沙沙书写中 在实验室的复杂仪器间 在办公室伏案工作的剪影旁 在春日繁花盛放的小径上 …… 将重复的工作绘成动人的画卷 把琐碎的日常写成优美的诗篇 	 是你们， 精心呵护北大楼的爬山虎 种下片片梧桐绿荫 将青春融进 “第一个南大”建设的足印 	 是你们， 每一个奋进中的南大人！ 	 鼓楼校区，钟声悠悠回荡 仙林湖畔，晚霞徐徐舒展 浦园上空，星河潺潺流淌 姑苏清晨，烟雨细细飘洒 它们默默见证 信仰在热爱的土壤上深深扎根 时光里藏着坚守的力量 无声的付出自有千钧重量 	 今天，我们借五月的风 将关于劳动者的颂歌传遍南大校园 这里有鲜花与掌声 更有永不熄灭的奋斗之火 播种理想的土地上 每个岗位都是光荣的阵地 每一份坚守都在共同书写南大的辉煌 	 这，是属于劳动者的五月 是关于每一位南大人最真挚的礼赞 愿千万劳动者携手奋进 让百廿南雍 永远风华正茂！ 永远向着未来出发！ 	 统筹：严思璇 芮 华 南盼盼 周文青 董 飞等 摄影：佘治骏 严思璇 李佳昊 陈 婧 丁芳芳 李 灿 李明建 李玉豪 田哲睿 杨冰倩 庄宇曦 南大后勤 保卫处 南京大学学生会等 图片整理：赵诚颖 黄奕扬 文字：万宁宜 邓路瑶 王 颖 编辑：王 颖 陈坤玥 责编：郭安康 王雪纯 发布：周芷涵 ﻿#南京大学[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#五一国际劳动节[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,14,1,2,0,2025-05-01 23:55:00,学生生活类
68119635000000001201ca85,ABSAVBpPpoz5AiPqZ6swicU3jURFlGWsycE51lerCCBYQ=,normal,回望｜四月里NJUers都在做些什么？🎀,我们最好的遇见 是现在这样的四月🍃 NJUers倾听光阴呢喃 化作一棵棵恣意生长的小树🌲 从体育竞技场的巅峰对决 到艺术舞台的璀璨绽放🎆 从知识殿堂的智慧碰撞 到社会服务的温暖接力💪🏻 我们蓬勃，我们昂扬⚡️ 我们喜悦，我们幸福💕 	 来源：南大青年 编辑：牛一诺 ﻿#南京大学[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#四月[话题]#﻿ ﻿#一键播放春天[话题]#﻿ ﻿#大学生活[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,25,0,0,0,2025-04-30 12:17:02,学生生活类
68106ecb000000002202678c,AB0okKeHx62P5awOKhr_DuPX-oYrA5rbIi6ULWjDCmeXA=,video,驶出花海的南大列车🌸,漫步南雍山 走过芳香路 寻一静谧园 探索未知梦 	 编辑：陈雨晗 视频制作：严思璇 李佳昊 许思琪 张炜艺 黄晨熙 何雨晴等 ﻿#南京大学[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#鲜花分享[话题]#﻿ ﻿#大学生活大学生活非常有意思啊[话题]#﻿ ﻿#春花[话题]#﻿ ﻿#出门逛春天啦[话题]#﻿ ﻿#春天就是要和花一起拍照[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,144,10,1,5,2025-04-29 17:01:44,美景照片类
6810567f0000000021018e07,AB0okKeHx62P5awOKhr_DuPR-XXDDXoaR_qrr2LN6IlQA=,video,当来自世界各地的我们到达水韵江苏🔍,苏绣 是精美绝伦的极致艺术🧵 采茶 是自然给予的绿色之美🌱 古镇 是小桥流水的素雅恬淡🌸 美食 是抚慰人心的一日三餐🌾 	 来自世界各地的的南大留学生分为六个小组 开启了一场“City Walk”式的城市文化探索之旅 漫步古城巷陌 见多彩的美丽 	 这场活动是国情教育的生动实践 更是中外青年心灵相通的桥梁 为参与者留下难忘的回忆[赞R] 	 编辑：陈雨晗 剪辑：何一鸣 来源：海外教育学院 ﻿#南京大学[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大苏州[话题]#﻿ ﻿#国际生[话题]#﻿ ﻿#水韵江苏[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,46,3,0,1,2025-04-29 14:00:49,学生生活类
681043750000000022004863,AB0okKeHx62P5awOKhr_DuPXuYWGeLmw0ybWmjj9Ecz6U=,video,朴拙美丽 石阅千年｜岩画拓片艺术展🧩,古老而神秘的岩画拓片 讲述着一方水土的传奇与变迁💭 在本次艺术展中 我们可以共同领略岩画的历史和特色🥰 并在科技感满满的“拓片互动”环节 深入感受新疆伊犁哈萨克自治州岩画的内涵与魅力✨ 	 📍展览地点：南京大学仙林校区 星云楼1F展厅 	 拍摄：杜鑫宇 剪辑：郑思言 编辑：陈霖怡 ﻿#南京大学[话题]#﻿  ﻿#南大图鉴[话题]#﻿  ﻿#小红书高校young计划[话题]#﻿  ﻿#拓片[话题]#﻿  ﻿#岩画[话题]#﻿  ﻿#艺术展[话题]#﻿  ﻿#大学里的艺术展[话题]#﻿ ﻿@薯队长﻿ ﻿@校园薯﻿,34,0,2,3,2025-04-29 11:11:49,艺术文化类
680f1e1900000000210180b3,ABjmiF6D-KhmcQ9idy4ee6ZNxk2h6CpbyfV_Elymvcs9s=,video,用《苦尽柑来遇见你》神级转场打开南京大学,南京大学调色盘🎨 当神级转场遇上校园高光时刻 	 💙蓝色时刻 潜入游泳馆的蔚蓝秘境🏊 窗户中折射出波光粼粼的夏天 	 ❤️红色脉动 方肇中体育馆的乒乓音浪🏓 球拍与青春碰撞出清脆的节奏感 	 🍃绿意诗行 杜厦图书馆外杨柳轻拂书页 轻舟荡漾湖面的水墨涟漪 	 🧡橘色浪漫 篮球场与晚霞开启光影魔术 单车掠过梧桐道扬起金色衣角 	 当四季调色盘遇上百年学府 每个转场都是怦然心动的理由 	 策划：严思璇 拍摄：严思璇、许思琪、郑溯、李佳昊、梁罗茜等 剪辑：吴之翔 编辑：祁璟玥 ﻿#南京大学[话题]#﻿ ﻿#小红书高校young计划[话题]#﻿ ﻿#南大图鉴[话题]#﻿ ﻿#总要来趟NJU吧[话题]#﻿ ﻿#校园美学天花板[话题]#﻿ ﻿#神仙大学[话题]#﻿ ﻿#高校招生季[话题]#﻿ ﻿#高考倒计时﻿[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,836,89,112,30,2025-04-28 20:02:09,美景照片类
