note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time,category
68148cfa000000002001e603,AB6pW71tp1bPCFN1eCBwJ6eC_N7d5UP0qCwVTxtyP_iD4=,video,我在哈工大逛逛春天 ,#哈尔滨工业大学[话题]# #哈工大[话题]# #交换春天[话题]# #一键播放春天[话题]# #春天开幕式[话题]#,174,6,5,5,2025-05-02 17:14:34,美景照片类
6812c2de00000000210029ae,AB9viopHdO33D9zEzOAlGgE14TB6ZCYby7ZqWgztE6Qiw=,normal,今天，晒出你镜头中的“最美劳动者”,在哈工大的校园里 有这样一群人 在平凡的岗位上 书写不平凡的坚守 TA们是时光长河中永远闪耀的珍珠 是校园画卷中永不褪色的笔触 	 今天是“五一”国际劳动节 快来晒出你镜头中的“最美劳动者” 或为他们送上劳动节祝福 我们将选取3名读者 送上精美文创一份 #哈尔滨工业大学[话题]# #哈工大[话题]##致敬奋斗者[话题]# #劳动者是最美的人[话题]#,112,2,9,4,2025-05-01 08:39:58,学生生活类
6811fbf2000000002001f3cd,ABSAVBpPpoz5AiPqZ6swicU7OSwFCF8Z_RUfTHAowb1Tk=,video,和哈工大后勤饮食中心大厨学做土豆饼！,#哈尔滨工业大学[话题]# #哈工大[话题]#,57,3,1,6,2025-04-30 18:31:14,学生生活类
681087ca000000002100b62f,AB0okKeHx62P5awOKhr_DuPfEgpRKFF944t-_ED1OqZpY=,normal,哈工大飞盘体验课🥏快乐到飞起！,谁懂！哈工大基础学部的飞盘体验课也太好玩了！ 专业教练全程带飞 从握盘姿势到接盘技巧 小白也能秒变飞盘高手 	 大家两两组队，玩得超嗨 笑声和欢呼声不断 飞盘运动又解压又能交朋友 已经开始期待下一次啦 	 文字：王晨阳 图片：党委学生工作部/团委 	 #哈尔滨工业大学[话题]# #哈工大[话题]#,18,0,7,1,2025-04-29 16:03:22,运动健康类
680f1e2f000000002100d193,ABjmiF6D-KhmcQ9idy4ee6ZIhcgEpurDulkKV3iV82_zg=,video,微纳星辰✨紫丁香系列卫星,﻿#哈尔滨工业大学[话题]#﻿ ﻿#哈工大[话题]#﻿ ﻿#我是大学生讲解员[话题]#﻿,62,4,1,1,2025-04-28 14:20:31,学生生活类
680f1dad0000000021006077,ABjmiF6D-KhmcQ9idy4ee6ZJG_mC58gWzpoeqMPE4m7cg=,video,凝望苍穹的国之重器——FAST,﻿#哈尔滨工业大学[话题]#﻿ ﻿#哈工大[话题]#﻿ ﻿#我是大学生讲解员[话题]#﻿,66,2,2,1,2025-04-28 14:18:21,科技类
680f1d1f0000000021005d42,ABjmiF6D-KhmcQ9idy4ee6ZLpfJAhg8h8pn-93E78Ig64=,video,走近国家安全的千里眼——雷达,﻿#哈尔滨工业大学[话题]#﻿ ﻿#哈工大[话题]#﻿ ﻿#我是大学生讲解员[话题]#﻿,148,13,4,2,2025-04-28 14:15:59,科技类
680ed588000000002100b9de,ABVwx0C7Mb_Ggn51iPpR956EQztw9iEFyof627oNDIFtc=,video,高考倒计时40天，考上中国航天第一校！,#哈尔滨工业大学[话题]#﻿ ﻿#哈工大[话题]#﻿ ﻿#高考倒计时﻿[话题]#﻿,174,8,18,19,2025-04-28 09:10:32,招生类
680de0ea000000001d00796c,AB8H1KRxpIIylZjbnCrjKrzcdLptINZOhE70XbNqQVSWk=,video,哈工大后勤饮食中心大厨教你做披萨,﻿#哈尔滨工业大学[话题]#﻿ ﻿#哈工大[话题]#﻿,91,6,7,2,2025-04-27 15:46:50,学生生活类
680ddcfd000000001a006dfa,AB8H1KRxpIIylZjbnCrjKrzYKUh0ts3KbrcGJj_XDV9wM=,normal,冰面飞驰！哈工大冰球邀请赛超燃对决！,哈工大 “冰谊学友” 冰球邀请赛超燃开赛！ 哈工大冰球队与哈尔滨冰球协会代表队在赛场上激烈交锋 冰刀划过冰面，球员身姿矫健如飞⚡！ 	 参赛队员激动表示： “哈工大的冰场冰面厚实光滑 今天完全赛出水平了！” 	 速度与技巧的碰撞， 这里的冰球比赛超精彩！ 	 文字：王晨阳 图片：党委学生工作部/团委 ﻿#哈尔滨工业大学[话题]#﻿ ﻿#哈工大[话题]#﻿,27,0,8,2,2025-04-27 15:30:05,运动健康类
