note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time,category
68120dc2000000000900e7c2,AB9viopHdO33D9zEzOAlGgExTOOV4fpKg97zYFzumfaUg=,video,送你5️⃣月第一天的复旦！🌸,🌟五一假期，漫步复旦校园 花草繁茂，古楼静谧 时光都慢了下来 	 大家#五一假期[话题]# 有什么计划 快来和🥚一起分享～ 	 📸：廖恒 	 #花情实况播报[话题]# #复旦大学[话题]# #小红书高校YOUNG计划[话题]# #定格卓越而有趣的复旦[话题]# #迈入人间五月[话题]# #用镜头定格我的大学时光[话题]# #大学生校园[话题]# #五一实况播报[话题]# @校园薯,291,19,5,25,2025-05-01 08:02:00,美景照片类
681197290000000009039e17,ABSAVBpPpoz5AiPqZ6swicU8pYIvbI-MprOSHcppvvy4E=,video,疑似复旦人五一放假前出现的幻觉,﻿#五一假期进入读秒时刻[话题]#﻿ 复旦人在实验室疑似出现幻觉 你的假期模式加载好了吗？ 快来和🥚分享！ 	 无论是出行或是留校都记得加强防范意识，祝大家假期愉快～ 	 视频：赵雨晗，徐沁芃 	 ﻿#复旦大学[话题]#﻿ ﻿#小红书高校YOUNG计划[话题]#﻿#五一实况播报[话题]#  ﻿#定格卓越而有趣的复旦[话题]#﻿ ﻿#五一[话题]#﻿ ﻿#实验室日常[话题]#﻿ ﻿#预测你的五一放假前后状态[话题]#﻿ ﻿#五一假期进入读秒时刻[话题]#﻿ ﻿@校园薯﻿,229,21,47,12,2025-04-30 11:21:13,学生生活类
68103a27000000000900c3cd,AB0okKeHx62P5awOKhr_DuPYchj3fxbKTs3KCCu7Actyg=,video,🌸复旦上医的春天有双重浪漫,左手执柳叶刀稳如学霸 右手捧杜鹃花灿若云霞～ 📸莫兰迪色校园 花瓣落在白大褂肩头才是医学生专属彩蛋！ 	 🍃实验数据要严谨，赏花心情可放肆！ 在红砖楼转角遇见粉色花瀑， 解剖图谱里夹着今年第一枚书签～ 📮等你一起在枫林园里 定格自己的花期续集～ 	 来源 ：医学宣传部 摄影 ： 张婉欣 视频 ： 马楚涵 	 #复旦大学[话题]# #小红书高校YOUNG计划[话题]# #定格卓越而有趣的复旦[话题]# #我在学校走花路[话题]# #春天是个巨大的形容词[话题]# #一键播放春天[话题]# #想学医来上医[话题]# #复旦大学上海医学院[话题]# #医学生[话题]# @校园薯,65,8,5,3,2025-04-29 10:32:07,学生生活类
680de243000000000703503f,AB8H1KRxpIIylZjbnCrjKrzSHwLxXtP7tLOW49G8PB2ZU=,video,复旦的蔷薇已经美到next level❗,送你来自复旦的浪漫蔷薇~ 	 ps：邯郸校区的蔷薇已经盛开啦！ 欢迎在评论区留下你的打卡照！( •̀ ω •́ )y 视频：徐沁芃，苏畅 ﻿#小红书高校YOUNG计划[话题]#﻿ ﻿#复旦大学[话题]#﻿ ﻿#定格卓越而有趣的复旦[话题]#﻿ ﻿#小红书4k视频浪潮计划[话题]#﻿ ﻿#送你一张春天壁纸[话题]#﻿ ﻿#交换春天[话题]#﻿ ﻿#蔷薇[话题]#﻿ ﻿@校园薯﻿﻿,230,24,29,13,2025-04-28 12:03:26,美景照片类
680e3b800000000009016f1d,ABVwx0C7Mb_Ggn51iPpR956AsvJqXGZiP9MImnNw99Q0Y=,normal,复旦大学发布纪念建校120周年公告🌟,巍巍学府，百廿弦歌。2025年5月27日，复旦大学将迎来建校120周年华诞。谨向全体师生员工、海内外校友和关心支持学校发展的各界人士致以美好祝愿和崇高敬意！ 	 日月常行，百廿风雨。学校数度辗转迁址，几经改制分合，始终不易其名、不移其志，以教育报国、自强兴邦为使命担当。一代代复旦人秉持“团结服务牺牲”的精神，赓续红色基因，博学笃志、切问近思，为国育才、持续创新，追求卓越、不懈奋斗，方有今日扎根中国大地、迈向世界一流大学前列的鼎新气象。 	 旦复旦兮，百廿光华。五月，学校将举办一系列纪念活动，以及按历年传统举办校友返校活动。诚邀海内外校友重返母校、四海贤达共聚复旦。 	 从20世纪50年代起，经陈望道老校长倡议，校庆期间举办科学报告会成为复旦的优良传统。在建校120周年之际，第59届校庆科学报告会如期而至。全校各单位将举办近800场学术报告，以创新为犁，躬耕学术沃土。特从中精选120场学术活动广而告之，欢迎广大师生校友踊跃参加，弘扬百廿文脉，共襄学术盛会！ 	 复旦大学 2025年4月27日 	 #复旦大学[话题]# #纪念复旦建校120周年[话题]# @校园薯,597,115,211,121,2025-04-27 22:13:20,学生生活类
680e0191000000000703656f,ABVwx0C7Mb_Ggn51iPpR956A509KHUGxdgLF3Ayh9x5II=,video,又是一年复旦毕业歌会～🎞,春声又至，让毕业歌会打开封存的声音记忆 	 视频：张文欢、陈治佑 	 #复旦大学[话题]# #小红书高校YOUNG计划[话题]# #毕业[话题]# #定格卓越而有趣的复旦[话题]# #毕业晚会[话题]# #毕业青春不散场[话题]# #毕业季[话题]# #用镜头定格我的大学时光[话题]# #先拥抱再毕业[话题]# #大学生舞台[话题]# @校园薯,134,13,7,12,2025-04-27 18:06:09,学生生活类
680d8bbf000000000b0152eb,AB8H1KRxpIIylZjbnCrjKrzaYk2kHiiK13QsFeZ7gEtSo=,video,1.16亿，支持复旦青年科创！,复旦大学青年创新中心基金启动！ 视频：戚心茹、金心远 	 #复旦大学建校120周年[话题]#  #复旦大学[话题]# #小红书高校YOUNG计划[话题]# #定格卓越而有趣的复旦[话题]# #科创[话题]# #基金[话题]# #创新型人才[话题]# #大学生科创[话题]# #捐赠[话题]# #创新赢未来[话题]#  @校园薯,26,3,4,2,2025-04-27 09:43:27,学生生活类
680ba91d000000000903bab5,ABLL51yqrF5PY9DOP7JJ6t3mgUZajC7xCYlHNMAYdaMdc=,video,碰巧采访到大牛？遇见自己国家的政府官员？,上海论坛2025开幕，新一批志愿者同学们已就位！他们在论坛经历什么，收获什么？新闻视频组的志愿者们特地采访了几位优秀的往届志愿者同学，让我们听听他们的精彩分享吧！ 来源：复旦大学发展研究院 #小红书高校YOUNG计划[话题]# #定格卓越而有趣的复旦[话题]# #拓展国际视野[话题]# #chinatravel[话题]# #上海论坛[话题]# #采访[话题]# #诺奖[话题]# #复旦大学建校120周年[话题]# #多文化交流[话题]# #国际新闻[话题]# #多元文化多样魅力[话题]#  @校园薯,43,4,13,4,2025-04-26 08:01:59,学生生活类
680b4927000000001200f36b,ABLL51yqrF5PY9DOP7JJ6t3pjBHRrUJGrgUjvm-RBkB2U=,video,当我把复旦做成手帐贴纸….✨✨✨,#复旦大学[话题]# #定格卓越而有趣的复旦[话题]# #小红书高校YOUNG计划[话题]# #母校承载了多少回忆[话题]# #总要拍拍校园吧[话题]# #我镜头里的校园[话题]# #镜头下的校园[话题]# #手帐素材[话题]# #手帐里的夏日生活[话题]# #照片涂鸦[话题]# #我的梦中情校[话题]# #换个角度看复旦[话题]#,390,35,16,16,2025-04-25 17:40:09,学生生活类
680a1492000000000e006562,ABWz1QRihKVPOkbp-10gefBUl_dplu_kqvApR0g9YWBRI=,normal,复旦2025强基官方政策解读来了！🙌,💡《复旦大学2025年强基计划招生简章》已经发布，现就今年的选拔程序、政策变化、招生专业、培养模式等11个问题进行解答，供考生和家长们参考 	 还想了解更多❔ 还有直播‼️ ↓↓↓ 	 4️⃣月2️⃣5️⃣日（周五）、4️⃣月2️⃣7️⃣日（周日）：17:00-18:00 	 🌟复旦大学本科生招生办公室主任石磊教授、 复旦大学强基计划各招生院系培养相关负责老师、 在读优秀学子 将会通过直播的形式与大家见面 为大家带来复旦2025强基计划 在招生与培养方面的变化与亮点 	 敬请期待～（直播预约请见p11-12） 	 来源：复旦招生 	 #复旦大学[话题]# #小红书高校YOUNG计划[话题]# #定格卓越而有趣的复旦[话题]# #报考指南[话题]# #强基计划[话题]# #强基[话题]# #复旦强基[话题]# #旦愿你来[话题]# #直播[话题]# #高考[话题]# #高考加油[话题]# @校园薯,90,36,34,16,2025-04-24 18:38:10,招生类
