note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time
6811e3720000000009015e79,ABSAVBpPpoz5AiPqZ6swicUz4bXRRvwOnBDqMFqRyau7I=,video,劳动节“穿越”打卡！,古人职业画卷是怎样的？用AI打开清代画家徐扬的《姑苏繁华图》，一起感受古代江南的繁华景象。,81,15,0,7,2025-05-01 07:00:55
681185f8000000000b0178e6,ABSAVBpPpoz5AiPqZ6swicUym-AIXkFgEZ61S59uQRd5o=,video,浙大夜跑 ,浙大夜跑丨“浙青年·爱运动”五四主题活动，用运动点亮青春。 	 #浙江大学[话题]# #夜跑[话题]#,501,43,15,16,2025-04-30 10:07:52
6810437a000000000b01493f,AB0okKeHx62P5awOKhr_DuPcMvahUu_32Rbp7BGNcNxAA=,video,小种子也有“大学问”！,浙大农学院关亚静教授的《种子检验学》，让学生掌握种子检验的意义和方法，未来考虑将AI技术融入课程实践。 	 联合出品：本科生院教学研究处,37,2,1,0,2025-04-29 11:11:54
680f527400000000090171e8,ABjmiF6D-KhmcQ9idy4ee6ZLnU-VDFf8iBuDWWfNGmAGM=,video,一起来看浙江大学首届强基学生的心声,视频来源：浙江大学本科生院招生处,189,31,31,8,2025-04-28 18:03:32
680f2fa8000000000d0177ce,ABjmiF6D-KhmcQ9idy4ee6ZLQHCyhtstNkxWmC0BCGuv8=,normal,欢迎报考浙大强基计划,,74,17,11,7,2025-04-28 15:35:04
680f2b0b00000000210190e1,ABjmiF6D-KhmcQ9idy4ee6ZIwm79vY9ykD5r7tXvRb9-4=,video,高考倒计时40天，浙大向你发来明信片！,高考加油！ 小浙在这里等你 	 摄制：阿热爱 杨萝萝 文案：王远哲 冯彦奕 熊章昊 ﻿#浙江大学[话题]#﻿,355,61,25,22,2025-04-28 15:15:23
68083aa8000000001200c5bd,ABcxVis48BhABE4NrM1-MIkFKLNGrnXGtsrtx7pFA093Y=,normal,来浙大读研吧！哈尔滨专场来啦～,日期：2025年4月26日 时间：上午9:00-12:00 地点：哈尔滨新巴黎大酒店四楼国际会议中心 (南岗区中山路177号)(如有变化另行通知) 	 哈尔滨的同学们千万别错过哦 #浙江大学[话题]# #硕士研究生[话题]#,46,6,11,32,2025-04-23 08:56:08
6806f3c8000000000d01666c,ABmEIjRP1NmTsDjZC3Xg_muStePHaH8HRHgusXdt1Nyws=,video,谷雨前后，满树花开 ,微风轻轻掠过枝头，紫白碎花摇曳，静静守候着春天的校园。 ﻿#浙江大学[话题]#﻿ ﻿#想念在大学校园的生活[话题]#﻿ ﻿#校园风景[话题]#﻿ 视频摄制：浙江大学融媒体中心拍客联盟 小满 文案：浙江大学融媒体中心学生记者团 许嘉玮,325,22,12,9,2025-04-22 09:41:28
680441e1000000000b02c062,ABaTofva7FBByOYrBjXLrKt2I1OndsnfgU25S09xQV2cI=,video,用AI打开谷雨 ,#春天的影像诗[话题]# 在春季的最后一个节气，让我们一起回味这份盎然。 	 图片来源于网络 统筹：王可欣 杨萝萝 余昉 AI设计：曹琛 段芊芊 徐喆 肖一 陈泓如 剪辑：张可心 谢靖程,98,6,3,5,2025-04-20 08:37:53
6801f678000000001d01ca79,ABsVhUgDfdYToWajfm1K6ll50kISaLekrZUG6Pf3oDkss=,video,我希望你考上浙江大学~,我是小浙，高考倒计时50天，我想对正在全力冲刺的你说：我希望你考上浙江大学~﻿#浙江大学[话题]#﻿ ﻿#想念在大学校园的生活[话题]#﻿ ﻿#高考[话题]#﻿ ﻿#高考冲刺[话题]#﻿ 制作：陈衍柔 郑景泽 文案：吕方舟,2060,245,237,202,2025-04-18 14:51:36
6800950e000000001d0081d9,ABtyhlVBzqBTcTvRutkjCo3EE4MYkW_LWpfntsyDJ5HaE=,video,在浙大紫金港四季中寻找野生汉字~,﻿#浙江大学[话题]#﻿ ﻿#想念在大学校园的生活[话题]#﻿ ﻿#校园风景[话题]#﻿ 视频制作：浙江大学融媒体中心拍客联盟 小满,358,29,27,21,2025-04-17 13:43:42
67ff4fbf000000001d01dc58,ABPUeoJn_vs9yOVOjR73wGGFXgdZHlJb6heHOh4sa9hnE=,video,浙大+emoji，会发生什么奇妙的反应？,﻿#浙江大学[话题]#﻿ ﻿#想念在大学校园的生活[话题]#﻿ ﻿#emoji[话题]#﻿ ﻿#校园风景[话题]#﻿ 拍摄： 吕方舟 剪辑： 吕方舟,288,14,14,13,2025-04-16 14:35:43
67ff2f380000000009038094,ABPUeoJn_vs9yOVOjR73wGGB5OQIP9mRK6shPKmlCkyck=,normal,来浙大读研吧！重庆专场咨询会等你来～,时间：2025年4月19日  上午9:00-12:00 地点：重庆富力假日酒店二楼宴会厅5 (沙坪坝区大学城南路26号) (如有变化另行通知) 欢迎大家扫码报名哦～ #浙江大学[话题]# #考研咨询[话题]#,65,4,30,13,2025-04-16 12:16:56
67fe263d000000001b038c4f,ABvzBdA5ITX9dhm5Yp6idBhsUn_U3MxR8_M0ey3QOjqew=,video,让我们漫步在四月的浙大，去拥抱青葱岁月。,当新芽冒出枝头，求是园宛如被碧玉装点。 ﻿#浙江大学[话题]#﻿ ﻿#想念在大学校园的生活[话题]#﻿ ﻿#校园风景[话题]#﻿ 视频：小满 文案：孙恺步,586,95,66,26,2025-04-15 17:26:21
67fbae480000000007034aad,ABnNelTUumeIs_TTVwNkT-_z8lBZ-bYNxaxJ-qz91tkzg=,video,浙大宝藏课堂来了 ,浙大有哪些宝藏课程？来看看同学们的推荐吧～ 	 #生活走读生[话题]##小红书游学团[话题]##浙江大学[话题]# 策划：梁笑寒 拍摄：梁笑寒 陈衍柔 阮悠 杨蒋淇 剪辑：邓长江,113,15,9,5,2025-04-14 08:30:16
67fbb773000000001200e47a,ABnNelTUumeIs_TTVwNkT-_wlXPgLe0gilZq22dnCt1yg=,video,花粉过敏怎么办？浙大医生来支招～,#春季过敏生存大法[话题]# 怀疑花粉过敏， 忍一忍就过去了？ 浙大一院专家来支招啦～,51,2,10,1,2025-04-13 21:09:07
67fb03ff0000000009038078,ABnNelTUumeIs_TTVwNkT-_zcL1ugtuCWU-wNRurGn294=,video,用吉卜力画风打开浙大,#交换春天[话题]# #ourspring[话题]# 春光正暖，水波温柔 此刻的校园宛若宫崎骏笔下的画卷 呈现出一份独有的温暖与美好 	 图片：曹植竣 视频：邓悦洁 文案：李荣灿,973,110,64,33,2025-04-13 08:23:27
67f9d051000000001200ce33,ABJg2zXXmT9Y36fj_lEd4vJEe6vuZqwUA3apDaz8zRJfs=,normal,一年一度校友集体婚礼报名将开始,2025年4月17日13:14 “缘定浙大”校友集体婚礼💒 报名通道正式开启！ 亲爱的浙大人 你们准备好书写这段 镌刻求是印记的永恒浪漫了吗？ 	 #浙大校友集体婚礼[话题]# #从校园到婚礼[话题]# #校园到婚纱[话题]#,80,14,116,32,2025-04-12 10:30:41
