note_id,xsec_token,type,title,content,like_count,collect_count,share_count,comment_count,publish_time
680d8971000000001a00438d,AB8H1KRxpIIylZjbnCrjKrzXX6Ym-fNEEVc_3b3lYtDmU=,video,你从哪里来？清华人跨越时光的回答,又是一年相聚时，当我们聊起“你从哪里来”，每一个回答背后是不尽相同的故事。跨越时空的长河，无论小小村落，还是山河万里，清华人奔赴的远方，是寸寸丹心皆为家国。 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#清华大学建校114周年[话题]#﻿ ﻿#你从哪里来[话题]#﻿﻿ ﻿﻿@校园薯﻿ ﻿@视频薯﻿ ﻿@薯队长﻿﻿,69000,8196,3785,1592,2025-04-27 10:33:24
680c34cc000000001d0051bd,AB9lxGr8wFM_03pkZ38VySgpUdssEP4ECF3qFufeeXzbg=,video,这就是上清华的意义吧,她曾背着沉重的行囊踏入清华园 从本科时拿助学金省吃俭用 到研究生期间资助其他需要帮助的人…… 当年一篇清华校友发布的匿名文章在网络刷屏 网友感慨：“这大概就是‘自强不息，厚德载物’吧” 一代一代清华人用行动诠释着校训精神 母校114周岁生日之际 欢迎回家，寻找你的答案 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#清华大学建校114周年[话题]#﻿ ﻿#我与清华的第X年[话题]#﻿ ﻿#清春结算画面[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿﻿,3355,1833,845,166,2025-04-26 09:50:41
681229aa00000000230104e8,AB9viopHdO33D9zEzOAlGgEylb5snyCWQoVwuqLsj_73I=,normal,毕业倒计时 DAY52丨一起刷过墙，亲手绘过梦,今天是2025年4月30日 是一字班入学的第1336天 粉刷匠社团理事会成员在毕业倒计时52天 分享他们一起绘梦的故事 我们用细心、耐心与爱心让公益的梦想开花 从成都到阆中 从门头沟到东操排球场 我们把希望播撒在祖国的角落 用美点亮生命的光 	 #清华大学[话题]# #爱上清华[话题]# #清华邂逅日记[话题]# #毕业倒计时[话题]# #毕业不是终点[话题]# #致青春致我们[话题]# @校园薯 @薯队长,20,0,1,3,2025-04-30 22:09:42
68119e0000000000200299ce,ABSAVBpPpoz5AiPqZ6swicU0JOBDZGXVOmzKwKe4ElPAw=,normal,拦不住你发芽！尽情地盛开吧！,亲爱的朋友们，欢迎来到「清华Moments」。 	 平凡的日子总在细微处绽放光彩，普通的角落常于点滴间孕育诗行。我们以“影像为舟，文字作桨”，邀您共溯时光长河，打捞那些触动心弦的光影瞬间——或是俯身捡拾露珠的清晨，或是仰望星子的夜晚……您按下快门的刹那，便是对诗意生活最具象的注解。 	 当紫荆的暗香漫过砖墙，爬山虎的新藤攀上回廊，四月以草木的笔触，在清华园写下所有关于重逢与启程的叙事。我们捕捉到校友归来的笑靥与春光同辉，记录下整个滚烫青春的歌声，珍藏了所有不期而遇的美好，也震撼于那些一往无前的身姿。这些未被命名的温暖与坚持，正将人间烟火熬煮成不谢的春天。 追寻心中的光我与你一起走进人间的四月天—— 	 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#日常生活里的快乐瞬间[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,41,4,1,3,2025-04-30 15:51:51
6810d7a60000000023013c45,AB0okKeHx62P5awOKhr_DuPRL-BNU4bjU0OVk6m_2nwFY=,normal,毕业倒计时 DAY53 | 出线需要一点miracle,今天是2025年4月29日 是一字班入学的第1335天 他们想在毕业倒计时53天 记录在方寸球桌上的无限人生 	 落地的球滚进暮霭 桌边的风吹向未来 时间在角落徘徊 再盛大的故事比不过常伴不怠 记住球拍 记住观赛 记住开怀 忘掉那年决赛 也记住那年决赛 	 乒乓球没有应该 那些年球馆里不只热爱 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#毕业倒计时[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,38,5,5,2,2025-04-29 21:44:06
680c34cc000000001d0051bd,AB9lxGr8wFM_03pkZ38VySgpUdssEP4ECF3qFufeeXzbg=,video,这就是上清华的意义吧,她曾背着沉重的行囊踏入清华园 从本科时拿助学金省吃俭用 到研究生期间资助其他需要帮助的人…… 当年一篇清华校友发布的匿名文章在网络刷屏 网友感慨：“这大概就是‘自强不息，厚德载物’吧” 一代一代清华人用行动诠释着校训精神 母校114周岁生日之际 欢迎回家，寻找你的答案 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#清华大学建校114周年[话题]#﻿ ﻿#我与清华的第X年[话题]#﻿ ﻿#清春结算画面[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿﻿,3468,1865,860,166,2025-04-26 09:50:41
680d8971000000001a00438d,AB8H1KRxpIIylZjbnCrjKrzXX6Ym-fNEEVc_3b3lYtDmU=,video,你从哪里来？清华人跨越时光的回答,又是一年相聚时，当我们聊起“你从哪里来”，每一个回答背后是不尽相同的故事。跨越时空的长河，无论小小村落，还是山河万里，清华人奔赴的远方，是寸寸丹心皆为家国。 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#清华大学建校114周年[话题]#﻿ ﻿#你从哪里来[话题]#﻿﻿ ﻿﻿@校园薯﻿ ﻿@视频薯﻿ ﻿@薯队长﻿﻿,79000,9284,4218,1863,2025-04-27 10:33:24
68122ca600000000230159b5,AB9viopHdO33D9zEzOAlGgE62x7XlMXWLIPOkYNso89EQ=,normal,五月啦！收下这份清华园「日日是好日」指南✨,当藤蔓攀上大礼堂的红墙，阳光在荷塘湖面流淌，五月正用它的方式把清华园调成温柔模式。这里的每一天都藏着细碎的惊喜：图书馆落地窗前变换的光斑，荷塘边石板路上突然窜过的松鼠尾巴…… “最动人的风景不在相册里，而在你停下滑动的手指时——抬头看见一朵云飘动的瞬间。” 带上这份指南出发吧！把「生活」变成探险，让「日常」成为动词∽ #清华大学[话题]# #爱上清华[话题]# #清华生活图鉴[话题]# #清华五月天[话题]# @校园薯 @薯队长 	 （文案&策划：魏小雯；制图：孙玉婷）,32,10,2,3,2025-05-01 10:02:47
681229aa00000000230104e8,AB9viopHdO33D9zEzOAlGgEylb5snyCWQoVwuqLsj_73I=,normal,毕业倒计时 DAY52丨一起刷过墙，亲手绘过梦,今天是2025年4月30日 是一字班入学的第1336天 粉刷匠社团理事会成员在毕业倒计时52天 分享他们一起绘梦的故事 我们用细心、耐心与爱心让公益的梦想开花 从成都到阆中 从门头沟到东操排球场 我们把希望播撒在祖国的角落 用美点亮生命的光 	 #清华大学[话题]# #爱上清华[话题]# #清华邂逅日记[话题]# #毕业倒计时[话题]# #毕业不是终点[话题]# #致青春致我们[话题]# @校园薯 @薯队长,28,0,1,3,2025-04-30 22:09:42
68119e0000000000200299ce,ABSAVBpPpoz5AiPqZ6swicU0JOBDZGXVOmzKwKe4ElPAw=,normal,拦不住你发芽！尽情地盛开吧！,亲爱的朋友们，欢迎来到「清华Moments」。 	 平凡的日子总在细微处绽放光彩，普通的角落常于点滴间孕育诗行。我们以“影像为舟，文字作桨”，邀您共溯时光长河，打捞那些触动心弦的光影瞬间——或是俯身捡拾露珠的清晨，或是仰望星子的夜晚……您按下快门的刹那，便是对诗意生活最具象的注解。 	 当紫荆的暗香漫过砖墙，爬山虎的新藤攀上回廊，四月以草木的笔触，在清华园写下所有关于重逢与启程的叙事。我们捕捉到校友归来的笑靥与春光同辉，记录下整个滚烫青春的歌声，珍藏了所有不期而遇的美好，也震撼于那些一往无前的身姿。这些未被命名的温暖与坚持，正将人间烟火熬煮成不谢的春天。 追寻心中的光我与你一起走进人间的四月天—— 	 ﻿#清华大学[话题]#﻿ ﻿#爱上清华[话题]#﻿ ﻿#清华邂逅日记[话题]#﻿ ﻿#日常生活里的快乐瞬间[话题]#﻿ ﻿@校园薯﻿ ﻿@薯队长﻿,50,5,1,5,2025-04-30 15:51:51
